Numero;Nom;Age;Matchs joués;Buts;Passe D;Column9;Column10
1;A. Areola;25 ans;9;-;-;20192020;Gardiens
1;A. Areola;26 ans;-;-;-;20202021;Gardiens
32;Á. Craninx;20 ans;-;-;-;20162017;Gardiens
22;Á. Di María;25 ans;-;-;-;20142015;Milieux
24;A. Güler;18 ans;-;-;-;20232024;Milieux
34;A. Hakimi;17 ans;2;-;-;20162017;Défenseurs
34;A. Hakimi;18 ans;21;2;1;20172018;Défenseurs
;A. Hakimi;20 ans;-;-;-;20192020;Défenseurs
13;A. Lunin;21 ans;6;-;-;20212022;Gardiens
13;A. Lunin;19 ans;1;-;-;20192020;Gardiens
13;A. Lunin;20 ans;1;-;-;20202021;Gardiens
27;A. Lunin;18 ans;4;-;-;20182019;Gardiens
13;A. Lunin;22 ans;13;-;-;20222023;Gardiens
13;A. Lunin;24 ans;3;-;-;20232024;Gardiens
39;Á. Rodríguez;17 ans;8;1;1;20222023;Attaquants
39;Á. Rodríguez;19 ans;-;-;-;20232024;Attaquants
22;A. Rüdiger;28 ans;56;2;-;20222023;Défenseurs
22;A. Rüdiger;30 ans;12;-;-;20232024;Défenseurs
18;A. Tchouameni;21 ans;53;-;4;20222023;Milieux
18;A. Tchouameni;23 ans;12;1;-;20232024;Milieux
24;A. Țîrlea;18 ans;-;-;-;20192020;Milieux
;Adrián Mance;20 ans;-;-;-;20172018;Milieux
36;Aleix Febas;19 ans;2;-;-;20162017;Milieux
;Alfonso Herrero;21 ans;-;-;-;20162017;Gardiens
27;Álvaro;18 ans;-;-;-;20172018;Milieux
;Álvaro Bravo;18 ans;-;-;-;20172018;Milieux
34;Álvaro Carrillo;21 ans;-;-;-;20232024;Défenseurs
6;Álvaro Fidalgo;18 ans;-;-;-;20162017;Milieux
36;Álvaro Fidalgo;19 ans;-;-;-;20172018;Milieux
36;Álvaro Fidalgo;21 ans;1;-;-;20192020;Milieux
36;Álvaro Fidalgo;20 ans;1;-;-;20182019;Milieux
;Álvaro Jiménez;20 ans;-;-;-;20162017;Milieux
26;Álvaro Medrán;19 ans;-;-;-;20142015;Milieux
29;Álvaro Morata;21 ans;-;-;-;20142015;Attaquants
21;Álvaro Morata;23 ans;46;21;5;20162017;Attaquants
21;Álvaro Morata;24 ans;-;-;-;20172018;Attaquants
34;Álvaro Tejero;18 ans;1;-;-;20152016;Défenseurs
34;Álvaro Tejero;19 ans;6;-;1;20162017;Défenseurs
34;Álvaro Tejero;20 ans;5;-;-;20172018;Défenseurs
27;Antonio Blanco;20 ans;4;-;-;20212022;Milieux
27;Antonio Blanco;19 ans;4;-;-;20202021;Milieux
27;Antonio Blanco;21 ans;-;-;-;20222023;Milieux
2;Arbeloa;31 ans;15;-;-;20152016;Défenseurs
2;Arbeloa;30 ans;22;1;5;20142015;Défenseurs
2;Arbeloa;32 ans;-;-;-;20162017;Défenseurs
;Arturo Molina;20 ans;-;-;-;20172018;Milieux
23;B. Garay;18 ans;-;-;-;20192020;Défenseurs
43;Borja Mayoral;17 ans;21;-;-;20152016;Attaquants
43;Borja Mayoral;16 ans;-;-;-;20142015;Attaquants
43;Borja Mayoral;18 ans;-;-;-;20162017;Attaquants
21;Borja Mayoral;19 ans;54;16;6;20172018;Attaquants
16;Borja Mayoral;21 ans;-;-;-;20192020;Attaquants
16;Borja Mayoral;22 ans;2;-;-;20202021;Attaquants
21;Borja Mayoral;20 ans;6;-;-;20182019;Attaquants
12;Borja Mayoral;24 ans;-;-;-;20222023;Attaquants
;Borja Sánchez;19 ans;-;-;-;20162017;Milieux
;Borja Sánchez;20 ans;-;-;-;20172018;Milieux
21;Brahim Díaz;19 ans;10;1;1;20192020;Attaquants
21;Brahim Díaz;20 ans;-;-;-;20202021;Attaquants
21;Brahim Díaz;18 ans;2;-;-;20182019;Attaquants
21;Brahim Díaz;24 ans;9;1;-;20232024;Attaquants
30;Burgui;20 ans;-;-;-;20142015;Milieux
;Burgui;22 ans;-;-;-;20162017;Milieux
;Burgui;23 ans;-;-;-;20172018;Milieux
