;Casillas;21 ans;37;-;-;-;-;20032004;Gardiens;
25;César;31 ans;1;-;-;-;-;20032004;Gardiens;
42;Diego López;21 ans;-;-;-;-;-;20032004;Gardiens;     
2;Míchel Salgado;27 ans;35;1;-;-;-;20032004;Défenseurs;
3;Roberto Carlos;29 ans;32;5;-;-;-;20032004;Défenseurs;
4;Rubén González;20 ans;4;-;-;-;-;20032004;Défenseurs; 
6;Iván Helguera;27 ans;29;1;-;-;-;20032004;Défenseurs; 
15;Raúl Bravo;21 ans;32;1;-;-;-;20032004;Défenseurs;   
17;Miñambres;21 ans;1;-;-;-;-;20032004;Défenseurs;     
22;Francisco Pavón;22 ans;29;1;-;-;-;20032004;Défenseurs;
28;Olalla;22 ans;-;-;-;-;-;20032004;Défenseurs;
33;Álvaro Mejía;20 ans;9;-;-;-;-;20032004;Défenseurs;
34;Juanfran;17 ans;10;-;-;-;-;20032004;Défenseurs;
39;Arbeloa;19 ans;-;-;-;-;-;20032004;Défenseurs;
41;Paredes;20 ans;-;-;-;-;-;20032004;Défenseurs;
5;Z. Zidane;30 ans;33;7;-;-;-;20032004;Milieux;
8;Borja Fernández;21 ans;15;-;-;-;-;20032004;Milieux;
10;Luis Figo;30 ans;36;9;-;-;-;20032004;Milieux;
14;Guti;26 ans;26;2;-;-;-;20032004;Milieux;
19;E. Cambiasso;22 ans;17;-;-;-;-;20032004;Milieux;
20;Celades;27 ans;-;-;-;-;-;20032004;Milieux;
21;S. Solari;26 ans;34;5;-;-;-;20032004;Milieux;
23;D. Beckham;27 ans;32;3;-;-;-;20032004;Milieux;
31;Jordi López;21 ans;2;-;-;-;-;20032004;Milieux;
35;José Jurado;16 ans;-;-;-;-;-;20032004;Milieux;
7;Raúl;25 ans;35;11;-;-;-;20032004;Attaquants;
9;Morientes;26 ans;1;-;-;-;-;20032004;Attaquants;
9;Ronaldo;26 ans;32;23;-;-;-;20032004;Attaquants;
11;Javi Portillo;20 ans;36;2;-;-;-;20032004;Attaquants;
18;Antonio Núñez;23 ans;11;1;-;-;-;20032004;Attaquants;
29;Riki;22 ans;-;-;-;-;-;20032004;Attaquants;
36;Soldado;17 ans;-;-;-;-;-;20032004;Attaquants;
;Casillas;25 ans;36;-;-;130;1;20072008;Gardiens;
25;J. Dudek;33 ans;1;-;-;8;-;20072008;Gardiens;
30;Codina;24 ans;1;-;-;5;-;20072008;Gardiens;
2;Míchel Salgado;31 ans;-;-;-;-;-;20072008;Défenseurs;
3;Pepe;23 ans;19;-;-;35;30;20072008;Défenseurs;
4;Sergio Ramos;20 ans;33;5;4;85;47;20072008;Défenseurs;
5;F. Cannavaro;33 ans;-;-;-;-;-;20072008;Défenseurs;
12;Marcelo;18 ans;24;-;2;76;36;20072008;Défenseurs;
16;G. Heinze;28 ans;-;-;-;-;-;20072008;Défenseurs;
21;C. Metzelder;26 ans;9;-;-;9;4;20072008;Défenseurs;
38;Miguel Torres;20 ans;20;-;-;47;12;20072008;Défenseurs;
;Adrián;18 ans;-;-;-;-;-;20072008;Milieux;
;Granero;19 ans;-;-;-;-;-;20072008;Milieux;
6;M. Diarra;25 ans;30;-;1;1545;13;20072008;Milieux;
10;Robinho;22 ans;32;11;8;950;58;20072008;Milieux;
11;A. Robben;22 ans;21;4;3;407;26;20072008;Milieux;
14;Guti;30 ans;-;-;-;-;-;20072008;Milieux;
15;R. Drenthe;19 ans;36;4;4;570;6;20072008;Milieux;
16;F. Gago;20 ans;31;-;4;1467;8;20072008;Milieux;
23;W. Sneijder;22 ans;30;9;6;1360;68;20072008;Milieux;
31;De la Red;21 ans;-;-;-;-;-;20072008;Milieux;
7;Raúl;29 ans;37;18;3;66;32;20072008;Attaquants;
9;Soldado;21 ans;5;-;-;3;-;20072008;Attaquants;
17;R. van Nistelrooij;30 ans;24;16;6;46;16;20072008;Attaquants;
18;J. Saviola;25 ans;9;3;-;6;8;20072008;Attaquants;
19;Júlio Baptista;25 ans;27;3;1;28;22;20072008;Attaquants;
20;G. Higuaín;19 ans;25;8;3;33;21;20072008;Attaquants;
24;Javier Balboa;21 ans;5;-;1;-;5;20072008;Attaquants;
;Casillas;23 ans;37;-;-;131;1;20052006;Gardiens;
30;Codina;22 ans;-;-;-;-;-;20052006;Gardiens;
42;Diego López;23 ans;2;-;-;3;-;20052006;Gardiens;
42;Cobeño;22 ans;-;-;-;-;-;20052006;Gardiens;
;C. Diogo;21 ans;13;-;-;23;15;20052006;Défenseurs;
;Filipe Luís;19 ans;-;-;-;-;-;20052006;Défenseurs;
2;Míchel Salgado;29 ans;27;-;-;48;18;20052006;Défenseurs;
3;Roberto Carlos;31 ans;35;5;6;69;35;20052006;Défenseurs;
4;Sergio Ramos;18 ans;33;4;-;64;44;20052006;Défenseurs;
6;Iván Helguera;29 ans;19;-;1;27;12;20052006;Défenseurs;
